"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1559","navigate to cart page on clicking checkout button","","Sat Sep 07 20:51:30 WIB 2024","passed","Sat Sep 07 20:51:32 WIB 2024","","Navbar","",""
"","205979","Should be able to fill the lastname","","Sat Sep 07 20:50:58 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","733","dropdown is appear on hovering over account button","","Sat Sep 07 15:52:45 WIB 2024","passed","Sat Sep 07 15:52:45 WIB 2024","","Navbar","",""
"","19007","Should be able to close the privacy policy modal","","Sat Sep 07 20:52:15 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","165521","Should be able to fill first address","","Sat Sep 07 20:51:39 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","33034","Should be able to fill the confirm password","","Sat Sep 07 20:52:01 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","179973","Should be able to fill fax","","Sat Sep 07 20:51:24 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","103655","Should be able to fill the firstname","","Sat Sep 07 15:52:32 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","79447","Should be able to fill city","","Sat Sep 07 20:51:14 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","42945","Should be able to fill password","","Sat Sep 07 20:51:51 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","68524","Should be able to fill city","","Sat Sep 07 15:53:07 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","1280","navigate to cart page on clicking checkout button","","Sat Sep 07 20:50:55 WIB 2024","passed","Sat Sep 07 20:50:56 WIB 2024","","Navbar","",""
"","89513","Should be able to fill email","","Sat Sep 07 15:52:46 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","105811","Should be able to show message when lastname is more than 32 characters","","Sat Sep 07 20:50:48 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","44896","Should be able to fill loginname","","Sat Sep 07 15:53:31 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
